feasible_reaction_smarts,not_trained_on_but_known,known_from_valid_set,known_from_test_set,num_products_works_with,example_works_with_reaction_id
[C:2]-[CH2;D2;+0:1]-[S;H0;D2;+0:4]-[C;D1;H3:3]>>Br-[CH2;D2;+0:1]-[C:2].[C;D1;H3:3]-[S-;H0;D1:4],True,True,False,1,US05711964
[C;D1;H3:3]-[N;H0;D3;+0:4](-[c:5])-[CH2;D2;+0:1]-[c:2]>>Cl-[CH2;D2;+0:1]-[c:2].[C;D1;H3:3]-[NH;D2;+0:4]-[c:5],True,True,False,1,US07071358B2
[#7;a:6]:[c:5]:[c:4]-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[N;H0;D3;+0:8](-[C:7])-[C:9]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]:[c:5]:[#7;a:6].[C:7]-[NH;D2;+0:8]-[C:9],True,True,False,1,US20100331293A1
[c:2]:[c;H0;D3;+0:1](:[c:3])-[S;H0;D2;+0:4]-[c:5]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3].[SH;D1;+0:4]-[c:5],False,False,False,1,US07732463B2
[#7;a:2]:[c;H0;D3;+0:1](:[#7;a:3]:[#7;a:4])-[O;H0;D2;+0:6]-[C:5]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[#7;a:3]:[#7;a:4].[C:5]-[OH;D1;+0:6],False,False,False,1,US20120088913A1
[C:4]-[N;H0;D3;+0:5](-[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[NH;D2;+0:5]-[c:6],True,False,True,1,US20120245148A1
[#7:4]-[N;H0;D2;+0:5]=[C;H0;D3;+0:1](-[C:2])-[c:3]>>O=[C;H0;D3;+0:1](-[C:2])-[c:3].[#7:4]-[NH2;D1;+0:5],True,True,False,4,US04228284
[C:5]-[N;H0;D3;+0:6](-[C:7])-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4]>>Cl-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4].[C:5]-[NH;D2;+0:6]-[C:7],True,False,True,6,US20150175602A1
[#8:3]-[C:2](=[O;D1;H0:4])-[CH2;D2;+0:1]-[N;H0;D3;+0:7](-[c:8])-[C:6]=[O;D1;H0:5]>>Br-[CH2;D2;+0:1]-[C:2](-[#8:3])=[O;D1;H0:4].[O;D1;H0:5]=[C:6]-[NH;D2;+0:7]-[c:8],True,False,True,1,US08063038B2
[#7;a:8]:[c:7]:[c:6]:[c;H0;D3;+0:4](:[c:5])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].Br-[c;H0;D3;+0:4](:[c:5]):[c:6]:[c:7]:[#7;a:8],True,False,True,1,US20150183799A1
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].I-[c;H0;D3;+0:4](:[c:5]):[c:6],True,True,True,3,US20060199817A1
[#7;a:3]:[c:2]-[CH2;D2;+0:1]-[N;H0;D2;+0:4]=[#7;+:5]=[N;-;D1;H0:6]>>Br-[CH2;D2;+0:1]-[c:2]:[#7;a:3].[N-;H0;D1:4]=[#7;+:5]=[N;-;D1;H0:6],True,True,False,1,US08440651B2
[#7;a:5]:[c:6]-[NH;D2;+0:7]-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[#7;a:5]:[c:6]-[NH2;D1;+0:7],True,False,True,2,US20060074237A1
[#7;a:4]:[c:5]:[n;H0;D3;+0:6](:[c:7])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[c:5]:[nH;D2;+0:6]:[c:7],True,True,True,2,US20110112120A9
[C:1]=[C:2]-[C@@H;D3;+0:3](-[C:4])-[OH;D1;+0:5]>>[C:1]=[C:2]-[C;H0;D3;+0:3](-[C:4])=[O;H0;D1;+0:5],False,False,False,1,US20040019023A1
[#8:1]-[C:2](=[O;D1;H0:3])-[C:4]-[CH;D3;+0:5](-[C:6])-[OH;D1;+0:7]>>[#8:1]-[C:2](=[O;D1;H0:3])-[C:4]-[C;H0;D3;+0:5](-[C:6])=[O;H0;D1;+0:7],True,False,True,1,US04645854
[c:2]:[c;H0;D3;+0:1](:[c:3])-[S;H0;D2;+0:4]-[c:5]>>F-[c;H0;D3;+0:1](:[c:2]):[c:3].[SH;D1;+0:4]-[c:5],False,False,False,2,US20040106653A1
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[NH;D2;+0:5]-[C:4]>>F-C(-F)(-F)-S(=O)(=O)-O-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[C:4]-[NH2;D1;+0:5],True,True,False,1,US07067658B2
[C:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[O;H0;D1;+0:4],True,True,True,5,US04925879
[#7;a:3]:[c:4]:[n;H0;D3;+0:5](-[CH2;D2;+0:1]-[C:2]):[c:6]>>Cl-[CH2;D2;+0:1]-[C:2].[#7;a:3]:[c:4]:[nH;D2;+0:5]:[c:6],False,False,False,1,US20130303533A1
[C:2]-[CH2;D2;+0:1]-[N;H0;D3;+0:4](-[C:3])-[C;D1;H3:5]>>Cl-[CH2;D2;+0:1]-[C:2].[C:3]-[NH;D2;+0:4]-[C;D1;H3:5],True,True,False,5,US20070149546A1
[C:2]-[C;H0;D4;+0:3](-[C:4])(-[CH3;D1;+0:1])-[OH;D1;+0:5]>>[CH3;D1;+0:1]-[Mg+].[C:2]-[C;H0;D3;+0:3](-[C:4])=[O;H0;D1;+0:5],True,False,True,1,US20090270361A1
[#7;a:4]:[#7;a:5]:[c:6]-[O;H0;D2;+0:7]-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[#7;a:4]:[#7;a:5]:[c:6]-[OH;D1;+0:7],True,True,True,2,US20080269293A1
[#16;a:3]:[c:2](-[NH2;D1;+0:1]):[c:4]:[#7;a:5]>>C-C(-C)(-C)-O-C(=O)-[NH;D2;+0:1]-[c:2](:[#16;a:3]):[c:4]:[#7;a:5],True,False,True,1,US20130203732A1
[C:4]-[N;H0;D2;+0:5]=[C;H0;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3]>>O=[C;H0;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3].[C:4]-[NH2;D1;+0:5],True,False,True,1,US20100137305A1
[#7;a:3]:[c:4]:[n;H0;D3;+0:5](-[CH2;D2;+0:1]-[C:2]):[c:6]:[c:7]:[#7;a:8]>>Br-[CH2;D2;+0:1]-[C:2].[#7;a:3]:[c:4]:[nH;D2;+0:5]:[c:6]:[c:7]:[#7;a:8],False,False,False,1,US20140275071A1
[C:3]-[N+;H0;D4:4](-[C:5])(-[C;D1;H3:6])-[CH2;D2;+0:1]-[C:2]>>Cl-[CH2;D2;+0:1]-[C:2].[C:3]-[N;H0;D3;+0:4](-[C:5])-[C;D1;H3:6],False,False,False,1,US05451394
[c:2]:[c;H0;D3;+0:1](:[c:3])-[n;H0;D3;+0:5](:[c:4]):[c:6]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3].[c:4]:[nH;D2;+0:5]:[c:6],True,True,True,3,US20080090834A1
[#7:3]-[C:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:4]-[c:5]>>O-[CH2;D2;+0:1]-[C:2]-[#7:3].[OH;D1;+0:4]-[c:5],True,True,False,2,US20110201602A1
[#7:3]-[C:2](=[O;D1;H0:4])-[CH2;D2;+0:1]-[O;H0;D2;+0:5]-[c:6]>>Cl-[CH2;D2;+0:1]-[C:2](-[#7:3])=[O;D1;H0:4].[OH;D1;+0:5]-[c:6],True,True,False,2,US04762925
[#7;a:5]:[c:4]:[c:3]:[c;H0;D3;+0:1](:[#7;a:2])-[O;H0;D2;+0:6]-[c:7]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[c:4]:[#7;a:5].[OH;D1;+0:6]-[c:7],True,True,False,1,US07547779B2
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>C-C1(-C)-O-B(-[c;H0;D3;+0:1](:[c:2]):[c:3])-O-C-1(-C)-C.I-[c;H0;D3;+0:4](:[c:5]):[c:6],True,False,True,1,US20090012129A1
[#7;a:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[N;H0;D3;+0:6](-[C:5])-[C:7]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3]:[#7;a:4].[C:5]-[NH;D2;+0:6]-[C:7],True,True,False,2,US20030225268A1
[C;D1;H3:3]-[C:4](=[O;D1;H0:5])-[O;H0;D2;+0:6]-[CH2;D2;+0:1]-[c:2]>>Cl-[CH2;D2;+0:1]-[c:2].[C;D1;H3:3]-[C:4](-[O-;H0;D1:5])=[O;D1;H0:6],False,False,False,1,US07709519B2
[C:5]#[C;H0;D2;+0:6]-[C;H0;D4;+0:2](-[C:1])(-[C;D1;H3:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[O;H0;D1;+0:4].[C:5]#[CH;D1;+0:6],False,False,False,1,US03932496
[#7;a:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[c;H0;D3;+0:5](:[c:6]):[c:7]:[#7;a:8]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]:[#7;a:4].O-B(-O)-[c;H0;D3;+0:5](:[c:6]):[c:7]:[#7;a:8],True,False,True,5,US08143271B2
[C:4]=[C:3]\[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:6]-[C:5]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C:4].[C:5]-[NH2;D1;+0:6],False,False,False,2,US04395524
[C:5]=[C:6]-[C:7]-[N;H0;D3;+0:8](-[C:9])-[S;H0;D4;+0:1](-[C:2])(=[O;D1;H0:3])=[O;D1;H0:4]>>Cl-[S;H0;D4;+0:1](-[C:2])(=[O;D1;H0:3])=[O;D1;H0:4].[C:5]=[C:6]-[C:7]-[NH;D2;+0:8]-[C:9],False,False,False,1,US20070082880A1
[#16:4]-[N;H0;D3;+0:5](-[C:6])-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[#16:4]-[NH;D2;+0:5]-[C:6],True,True,False,2,US20120094964A1
[O;D1;H0:2]=[S;H0;D4;+0:1](=[O;D1;H0:3])(-[c:4])-[NH;D2;+0:5]-[c:6]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[NH2;D1;+0:5]-[c:6],True,True,True,30,US20110021523A1
[#7;a:5]:[c:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[c;H0;D3;+0:6](:[c:7]):[c:8]>>Cl-[c;H0;D3;+0:1](:[c:2]):[c:3]:[c:4]:[#7;a:5].O-B(-O)-[c;H0;D3;+0:6](:[c:7]):[c:8],True,False,True,1,US20150166485A1
[#7;a:3]:[c:4]:[c:5]-[O;H0;D2;+0:6]-[CH2;D2;+0:1]-[C:2]>>Cl-[CH2;D2;+0:1]-[C:2].[#7;a:3]:[c:4]:[c:5]-[OH;D1;+0:6],True,True,True,2,US20140057896A1
[C:2]-[CH;D3;+0:1](-[C;D1;H3:3])-[O;H0;D2;+0:4]-[c:5]>>Br-[CH;D3;+0:1](-[C:2])-[C;D1;H3:3].[OH;D1;+0:4]-[c:5],False,False,False,5,US20090258917A1
[#7;a:4]:[c:3]:[c;H0;D3;+0:1](:[#7;a:2])-[N;H0;D3;+0:6](-[C:5])-[C:7]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4].[C:5]-[NH;D2;+0:6]-[C:7],True,True,True,6,US06583154B1
[#7;a:3]:[c:4]:[c:5]-[O;H0;D2;+0:6]-[CH2;D2;+0:1]-[c:2]>>Br-[CH2;D2;+0:1]-[c:2].[#7;a:3]:[c:4]:[c:5]-[OH;D1;+0:6],True,True,False,1,US20080269213A1
[#8:5]-[C:6](=[O;D1;H0:7])-[C:8]-[NH;D2;+0:9]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C:4]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C:4].[#8:5]-[C:6](=[O;D1;H0:7])-[C:8]-[NH2;D1;+0:9],False,False,False,1,US06733123B2
[C:2]-[CH2;D2;+0:1]-[N;H0;D3;+0:4](-[C;D1;H3:3])-[C;D1;H3:5]>>C-S(=O)(=O)-O-[CH2;D2;+0:1]-[C:2].[C;D1;H3:3]-[NH;D2;+0:4]-[C;D1;H3:5],True,False,True,1,US20020038025A1
[#7:1]-[C:2](=[O;D1;H0:3])-[C:4]-[N;H0;D3;+0:5](-[C:6])-[C;H0;D3;+0:8](=[O;D1;H0:7])-[NH;D2;+0:9]-[c:10]>>[#7:1]-[C:2](=[O;D1;H0:3])-[C:4]-[NH;D2;+0:5]-[C:6].[O;D1;H0:7]=[C;H0;D2;+0:8]=[N;H0;D2;+0:9]-[c:10],True,True,False,1,US08445674B2
[C:3]-[C;H0;D4;+0:4](-[C;D1;H3:5])(-[OH;D1;+0:6])-[C;H0;D2;+0:2]#[C;D1;H1:1]>>[C;D1;H1:1]#[CH;D1;+0:2].[C:3]-[C;H0;D3;+0:4](-[C;D1;H3:5])=[O;H0;D1;+0:6],True,True,False,1,US03932496
[C:1]=[C:2]-[C@@H;D3;+0:3](-[C;D1;H3:4])-[OH;D1;+0:5]>>[C:1]=[C:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;H0;D1;+0:5],False,False,False,1,US20040019023A1
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[Mg+]-[c;H0;D3;+0:4](:[c:5]):[c:6],False,False,False,1,US20100185019A1
[C:2]#[C;H0;D2;+0:1]-[C;H0;D2;+0:4]#[C:3]>>Br-[C;H0;D2;+0:1]#[C:2].[C:3]#[CH;D1;+0:4],False,False,False,1,US20150175530A1
[#7:3]-[N;H0;D2;+0:4]=[CH;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[#7:3]-[NH2;D1;+0:4],True,True,True,13,US20120282629A1
[C:2]-[CH2;D2;+0:1]-[O;D1;H1:3]>>O=[C;H0;D3;+0:1](-[C:2])-[O;D1;H1:3],True,True,True,25,US04350822
[C:2]-[C;H0;D3;+0:1](-[c:3])=[N;H0;D2;+0:4]-[c:5]>>O=[C;H0;D3;+0:1](-[C:2])-[c:3].[NH2;D1;+0:4]-[c:5],False,False,False,1,US04962234
[#8;a:5]:[c:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:6]-[c:7]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[c:4]:[#8;a:5].[NH2;D1;+0:6]-[c:7],True,True,True,2,US08642788B2
[#16;a:5]:[c:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[c;H0;D3;+0:6](:[c:7]):[c:8]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]:[c:4]:[#16;a:5].O-B(-O)-[c;H0;D3;+0:6](:[c:7]):[c:8],True,True,False,2,US20150182528A1
[O;D1;H0:4]=[C:3]-[C:2]-[NH2;D1;+0:1]>>C-C(-C)(-C)-O-C(=O)-[NH;D2;+0:1]-[C:2]-[C:3]=[O;D1;H0:4],False,False,False,1,US07759373B2
[#16:1]-[NH;D2;+0:2]-[C;H0;D3;+0:4](=[O;D1;H0:3])-[NH;D2;+0:5]-[c:6]>>[#16:1]-[NH2;D1;+0:2].[O;D1;H0:3]=[C;H0;D2;+0:4]=[N;H0;D2;+0:5]-[c:6],True,True,True,3,US05169860
[#7;a:5]:[c:6](:[#7;a:7])-[S;H0;D2;+0:8]-[CH2;D2;+0:1]-[C:2](-[#8:3])=[O;D1;H0:4]>>Br-[CH2;D2;+0:1]-[C:2](-[#8:3])=[O;D1;H0:4].[#7;a:5]:[c:6](:[#7;a:7])-[S-;H0;D1:8],False,False,False,1,US20100029736A1
[#7:4]-[C:3]-[CH2;D2;+0:1]-[OH;D1;+0:2]>>C-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[C:3]-[#7:4],True,False,True,1,US20010012846A1
[#7:2]-[C;H0;D3;+0:1](-[C;D1;H3:3])=[N;H0;D2;+0:4]-[c:5]>>O=[C;H0;D3;+0:1](-[#7:2])-[C;D1;H3:3].[NH2;D1;+0:4]-[c:5],True,True,False,1,US04758568
[C:2]-[CH;D3;+0:1](-[C:3])-[NH;D2;+0:5]-[C:4]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[C:4]-[NH3+;D1:5],False,False,False,21,US20090275574A1
[#7;a:2]:[c:3]:[c:4]-[O;H0;D2;+0:5]-[CH3;D1;+0:1]>>I-[CH3;D1;+0:1].[#7;a:2]:[c:3]:[c:4]-[OH;D1;+0:5],True,False,True,3,US08138188B2
[#16;a:4]:[c:5]-[NH;D2;+0:6]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#16;a:4]:[c:5]-[NH2;D1;+0:6],False,False,False,2,US20040024047A1
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[O;H0;D2;+0:5]-[C;D1;H3:4]>>F-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[C;D1;H3:4]-[OH;D1;+0:5],False,False,False,1,US20150232445A1
[#8:4]-[N;H0;D2;+0:5]=[C;H0;D3;+0:1](-[C:2])-[c:3]>>O=[C;H0;D3;+0:1](-[C:2])-[c:3].[#8:4]-[NH2;D1;+0:5],False,False,False,10,US05055474
[C:1]-[N;H0;D3;+0:2](-[C;D1;H3:3])-[C;H0;D3;+0:5](=[O;D1;H0:4])-[NH;D2;+0:6]-[c:7]>>[C:1]-[NH;D2;+0:2]-[C;D1;H3:3].[O;D1;H0:4]=[C;H0;D2;+0:5]=[N;H0;D2;+0:6]-[c:7],True,True,False,1,US20080214615A1
[#8:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH;D2;+0:8]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3].[#8:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH2;D1;+0:8],False,False,False,13,US20100003305A1
[C:1]=[C:2]-[C;H0;D3;+0:3](=[O;H0;D1;+0:4])-[c:5]>>[C:1]=[C:2]-[CH;D3;+0:3](-[OH;D1;+0:4])-[c:5],False,False,False,1,US06277992B1
[C:2]-[N;H0;D3;+0:3](-[CH3;D1;+0:1])-[c:4]>>O=[CH2;D1;+0:1].[C:2]-[NH;D2;+0:3]-[c:4],True,True,False,1,US20090137587A1
[#7;a:5]:[c:4]:[c:3]:[c;H0;D3;+0:1](:[#7;a:2])-[O;H0;D2;+0:6]-[c:7]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[c:4]:[#7;a:5].[OH;D1;+0:6]-[c:7],False,False,False,1,US20100130490A1
[#7;a:4]:[c:5]-[NH;D2;+0:6]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#7;a:4]:[c:5]-[NH2;D1;+0:6],True,True,True,7,US20080167314A1
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]:[#7;a:7]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].C-C1(-C)-O-B(-[c;H0;D3;+0:4](:[c:5]):[c:6]:[#7;a:7])-O-C-1(-C)-C,False,False,False,1,US20120172369A1
[#7;a:5]:[c:4]:[c:2](:[#7;a:3])-[CH2;D2;+0:1]-[N;H0;D3;+0:7](-[C:6])-[C:8]>>O=[CH;D2;+0:1]-[c:2](:[#7;a:3]):[c:4]:[#7;a:5].[C:6]-[NH;D2;+0:7]-[C:8],False,False,False,3,US05296609
[#8:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[N;H0;D3;+0:5](-[C:4])-[C:6]>>Cl-[C;H0;D3;+0:1](-[#8:2])=[O;D1;H0:3].[C:4]-[NH;D2;+0:5]-[C:6],True,True,True,14,US20080312281A1
[O;D1;H0:4]=[C:3]-[C:2]-[OH;D1;+0:1]>>C-C(-C)(-C)-[Si](-C)(-C)-[O;H0;D2;+0:1]-[C:2]-[C:3]=[O;D1;H0:4],True,False,True,1,US20100160369A1
[#8:4]-[C:3](=[O;D1;H0:5])-[C@@H;D3;+0:1](-[C:2])-[O;H0;D2;+0:6]-[c:7]>>Cl-[C@H;D3;+0:1](-[C:2])-[C:3](-[#8:4])=[O;D1;H0:5].[OH;D1;+0:6]-[c:7],False,False,False,2,US20080153850A1
[#7;a:2]:[c;H0;D3;+0:1](:[#7;a:3]:[c:4]:[#7;a:5])-[NH;D2;+0:7]-[C:6]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[#7;a:3]:[c:4]:[#7;a:5].[C:6]-[NH2;D1;+0:7],True,True,True,5,US04187305
[C:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:4]-[C;D1;H3:3]>>Br-[CH2;D2;+0:1]-[C:2].[C;D1;H3:3]-[O-;H0;D1:4],False,False,False,1,US20100256097A1
[#7;a:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[O;H0;D2;+0:5]-[c:6]>>F-[c;H0;D3;+0:1](:[c:2]):[c:3]:[#7;a:4].[O-;H0;D1:5]-[c:6],False,False,False,1,US20140378487A1
[#7;a:4]:[c:3](:[c:5]:[#7;a:6])-[C;H0;D3;+0:1](-[NH2;D1;+0:7])=[O;D1;H0:2]>>C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#7;a:4]):[c:5]:[#7;a:6].[NH3;D0;+0:7],False,False,False,1,US06359145B1
[#8:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH;D2;+0:8]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#8:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH2;D1;+0:8],True,True,True,13,US20100003305A1
[c:2]-[CH;D3;+0:1](-[c:3])-[O;H0;D2;+0:4]-[c:5]>>O-[CH;D3;+0:1](-[c:2])-[c:3].[OH;D1;+0:4]-[c:5],False,False,False,2,US20040259912A1
[C;D1;H3:2]-[S;H0;D4;+0:1](=[O;D1;H0:3])(=[O;D1;H0:4])-[NH;D2;+0:5]-[c:6]>>Cl-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4].[NH2;D1;+0:5]-[c:6],True,True,True,15,US05994368
[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[C:5]=[O;D1;H0:6]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[C:5]=[O;D1;H0:6],True,True,False,1,US05585358
[#7;a:1]:[c:2]:[c:3]-[CH;D3;+0:4](-[C;D1;H3:5])-[CH3;D1;+0:6]>>[#7;a:1]:[c:2]:[c:3]-[C;H0;D3;+0:4](-[C;D1;H3:5])=[CH2;D1;+0:6],True,False,True,1,US20150057265A1
[#7;a:4]:[#7;a:5]:[c:6]-[NH;D2;+0:7]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[#7;a:4]:[#7;a:5]:[c:6]-[NH2;D1;+0:7],True,False,True,1,US20080280875A1
[#7:5]-[C:6](=[O;D1;H0:7])-[C:8]-[NH;D2;+0:9]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]-[#7:4]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]-[#7:4].[#7:5]-[C:6](=[O;D1;H0:7])-[C:8]-[NH2;D1;+0:9],True,False,True,3,US20080275018A1
[C:3]-[N;H0;D3;+0:4](-[C;D1;H3:5])-[CH2;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[C:3]-[NH;D2;+0:4]-[C;D1;H3:5],True,False,True,3,US20090318690A1
[C:4]-[NH;D2;+0:5]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[C:4]-[NH3+;D1:5],False,False,False,26,US08822689B2
[#7:4]-[C:3](=[O;D1;H0:5])-[C:2]-[OH;D1;+0:1]>>C-C(=O)-[O;H0;D2;+0:1]-[C:2]-[C:3](-[#7:4])=[O;D1;H0:5],True,True,True,4,US20060069126A1
[#7:1]-[CH2;D2;+0:2]-[CH2;D2;+0:3]-[c:4]>>[#7:1]-[CH;D2;+0:2]=[CH;D2;+0:3]-[c:4],False,False,False,1,US20110281862A1
[#7;a:5]:[n;H0;D3;+0:6](:[c:7])-[CH2;D2;+0:1]-[C:2](-[#8:3])=[O;D1;H0:4]>>Br-[CH2;D2;+0:1]-[C:2](-[#8:3])=[O;D1;H0:4].[#7;a:5]:[nH;D2;+0:6]:[c:7],True,True,True,4,US08324216B2
[#7;a:6]:[#7;a:5]:[c:3](:[#7;a:4])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[N;H0;D3;+0:8](-[C:7])-[C:9]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#7;a:4]):[#7;a:5]:[#7;a:6].[C:7]-[NH;D2;+0:8]-[C:9],False,False,False,1,US04017620
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[N;H0;D3;+0:5](-[C:4])-[C:6]>>F-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[C:4]-[NH;D2;+0:5]-[C:6],True,True,True,11,US20140005168A1
[C:5]-[N;H0;D3;+0:6](-[C:7])-[CH2;D2;+0:1]-[C:2](-[N;D1;H2:3])=[O;D1;H0:4]>>Cl-[CH2;D2;+0:1]-[C:2](-[N;D1;H2:3])=[O;D1;H0:4].[C:5]-[NH;D2;+0:6]-[C:7],True,True,True,2,US08513239B2
[#7;a:5]:[#7;a:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:7]-[C:6]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#7;a:4]:[#7;a:5].[C:6]-[NH2;D1;+0:7],True,True,True,6,US20090124596A1
[C:3]=[C:4]/[C:5]-[O;H0;D2;+0:6]-[CH2;D2;+0:1]-[C:2]>>Br-[CH2;D2;+0:1]-[C:2].[C:3]=[C:4]-[C:5]-[OH;D1;+0:6],False,False,False,1,US05387692
[c:2]:[c;H0;D3;+0:1](:[c:3])-[NH;D2;+0:4]-[c:5]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[NH2;D1;+0:4]-[c:5],False,False,False,1,US07247625B2
[C:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3]>>[C:1]-[CH2;D2;+0:2]-[OH;D1;+0:3],True,True,True,27,US05891909
